0	300
3	258
4	252
8	232
12	216
19	195
24	183
28	174
38	154
45	142
55	127
64	115
68	110
73	104
81	95
92	84
93	83
104	73
110	68
115	64
123	58
133	51
142	45
147	42
154	38
176	27
178	26
190	21
195	19
213	13
220	11
232	8
241	6
246	5
252	4
266	2
277	1
300	0
323	1
341	3
348	4
359	6
364	7
384	12
402	18
415	23
422	26
446	38
453	42
458	45
473	55
480	60
490	68
497	74
506	82
518	94
527	104
532	110
536	115
542	123
547	130
553	139
558	147
562	154
573	176
577	185
579	190
582	198
588	216
592	232
595	246
596	252
598	266
599	276
599	324
598	334
594	359
593	364
588	384
581	405
577	415
572	426
563	444
558	453
555	458
547	470
540	480
536	485
527	496
519	505
511	513
497	526
485	536
473	545
464	551
458	555
453	558
446	562
422	574
415	577
399	583
384	588
368	592
354	595
334	598
324	599
276	599
266	598
252	596
246	595
241	594
228	591
216	588
198	582
183	576
172	571
154	562
142	555
127	545
115	536
110	532
104	527
94	518
82	506
74	497
61	481
56	474
49	464
45	458
38	446
26	422
21	410
19	405
12	384
9	372
5	354
1	324
